Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
British Virgin Islands,VGB,"Population, male",SP.POP.TOTL.MA.IN,18413
British Virgin Islands,VGB,"Population, female",SP.POP.TOTL.FE.IN,20572
Brunei Darussalam,BRN,"Population ages 0-14, male",SP.POP.0014.MA.IN,50130
Brunei Darussalam,BRN,"Population ages 0-14, female",SP.POP.0014.FE.IN,46361
Brunei Darussalam,BRN,"Population ages 15-64, male",SP.POP.1564.MA.IN,179743
Brunei Darussalam,BRN,"Population ages 15-64, female",SP.POP.1564.FE.IN,152832
Brunei Darussalam,BRN,"Population ages 80 and above, female",SP.POP.80UP.FE,2259
Brunei Darussalam,BRN,"Population ages 80 and above, male",SP.POP.80UP.MA,1744
Brunei Darussalam,BRN,"Population, male",SP.POP.TOTL.MA.IN,243889
Brunei Darussalam,BRN,"Population, female",SP.POP.TOTL.FE.IN,215060
Bulgaria,BGR,"Population ages 0-14, male",SP.POP.0014.MA.IN,481418
Bulgaria,BGR,"Population ages 0-14, female",SP.POP.0014.FE.IN,455801
Bulgaria,BGR,"Population ages 15-64, male",SP.POP.1564.MA.IN,2080521
Bulgaria,BGR,"Population ages 15-64, female",SP.POP.1564.FE.IN,2021406
Bulgaria,BGR,"Population ages 80 and above, female",SP.POP.80UP.FE,207587
Bulgaria,BGR,"Population ages 80 and above, male",SP.POP.80UP.MA,103166
Bulgaria,BGR,"Population, male",SP.POP.TOTL.MA.IN,3120023
Bulgaria,BGR,"Population, female",SP.POP.TOTL.FE.IN,3326573
Burkina Faso,BFA,"Population ages 0-14, male",SP.POP.0014.MA.IN,4957142
Burkina Faso,BFA,"Population ages 0-14, female",SP.POP.0014.FE.IN,4806075
Burkina Faso,BFA,"Population ages 15-64, male",SP.POP.1564.MA.IN,6267051
Burkina Faso,BFA,"Population ages 15-64, female",SP.POP.1564.FE.IN,6392069
Burkina Faso,BFA,"Population ages 80 and above, female",SP.POP.80UP.FE,38052
Burkina Faso,BFA,"Population ages 80 and above, male",SP.POP.80UP.MA,21591
Burkina Faso,BFA,"Population, male",SP.POP.TOTL.MA.IN,11468763
Burkina Faso,BFA,"Population, female",SP.POP.TOTL.FE.IN,11557013
Burundi,BDI,"Population ages 0-14, male",SP.POP.0014.MA.IN,3122491
Burundi,BDI,"Population ages 0-14, female",SP.POP.0014.FE.IN,3087693
Burundi,BDI,"Population ages 15-64, male",SP.POP.1564.MA.IN,3528074
Burundi,BDI,"Population ages 15-64, female",SP.POP.1564.FE.IN,3607547
Burundi,BDI,"Population ages 80 and above, female",SP.POP.80UP.FE,24095
Burundi,BDI,"Population ages 80 and above, male",SP.POP.80UP.MA,14494
Burundi,BDI,"Population, male",SP.POP.TOTL.MA.IN,6799975
Burundi,BDI,"Population, female",SP.POP.TOTL.FE.IN,6889475
Cabo Verde,CPV,"Population ages 0-14, male",SP.POP.0014.MA.IN,70811
Cabo Verde,CPV,"Population ages 0-14, female",SP.POP.0014.FE.IN,66932
Cabo Verde,CPV,"Population ages 15-64, male",SP.POP.1564.MA.IN,181552
Cabo Verde,CPV,"Population ages 15-64, female",SP.POP.1564.FE.IN,168669
Cabo Verde,CPV,"Population ages 80 and above, female",SP.POP.80UP.FE,4367
Cabo Verde,CPV,"Population ages 80 and above, male",SP.POP.80UP.MA,1805
Cabo Verde,CPV,"Population, male",SP.POP.TOTL.MA.IN,265691
Cabo Verde,CPV,"Population, female",SP.POP.TOTL.FE.IN,256640
Cambodia,KHM,"Population ages 0-14, male",SP.POP.0014.MA.IN,2679088
Cambodia,KHM,"Population ages 0-14, female",SP.POP.0014.FE.IN,2567339
Cambodia,KHM,"Population ages 15-64, male",SP.POP.1564.MA.IN,5451936
Cambodia,KHM,"Population ages 15-64, female",SP.POP.1564.FE.IN,5686846
Cambodia,KHM,"Population ages 80 and above, female",SP.POP.80UP.FE,87091
Cambodia,KHM,"Population ages 80 and above, male",SP.POP.80UP.MA,48482
Cambodia,KHM,"Population, male",SP.POP.TOTL.MA.IN,8533951
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,8889929
Cameroon,CMR,"Population ages 0-14, male",SP.POP.0014.MA.IN,5968170
Cameroon,CMR,"Population ages 0-14, female",SP.POP.0014.FE.IN,5880422
Cameroon,CMR,"Population ages 15-64, male",SP.POP.1564.MA.IN,7820546
Cameroon,CMR,"Population ages 15-64, female",SP.POP.1564.FE.IN,7916253
Cameroon,CMR,"Population ages 80 and above, female",SP.POP.80UP.FE,58849
Cameroon,CMR,"Population ages 80 and above, male",SP.POP.80UP.MA,39898
Cameroon,CMR,"Population, male",SP.POP.TOTL.MA.IN,14140585
Cameroon,CMR,"Population, female",SP.POP.TOTL.FE.IN,14232102
Canada,CAN,"Population ages 0-14, male",SP.POP.0014.MA.IN,3139905
Canada,CAN,"Population ages 0-14, female",SP.POP.0014.FE.IN,2996874
Canada,CAN,"Population ages 15-64, male",SP.POP.1564.MA.IN,13189143
Canada,CAN,"Population ages 15-64, female",SP.POP.1564.FE.IN,13009666
Canada,CAN,"Population ages 80 and above, female",SP.POP.80UP.FE,1114542
Canada,CAN,"Population ages 80 and above, male",SP.POP.80UP.MA,775812
Canada,CAN,"Population, male",SP.POP.TOTL.MA.IN,19912181
Canada,CAN,"Population, female",SP.POP.TOTL.FE.IN,20185580
Caribbean small states,CSS,"Population ages 0-14, male",SP.POP.0014.MA.IN,383044
Caribbean small states,CSS,"Population ages 0-14, female",SP.POP.0014.FE.IN,370819
Caribbean small states,CSS,"Population ages 15-64, male",SP.POP.1564.MA.IN,1046330
Caribbean small states,CSS,"Population ages 15-64, female",SP.POP.1564.FE.IN,1073211
Caribbean small states,CSS,"Population ages 80 and above, female",SP.POP.80UP.FE,32645
Caribbean small states,CSS,"Population ages 80 and above, male",SP.POP.80UP.MA,19048
Caribbean small states,CSS,"Population, male",SP.POP.TOTL.MA.IN,1549691
Caribbean small states,CSS,"Population, female",SP.POP.TOTL.FE.IN,1602703
Cayman Islands,CYM,"Population ages 0-14, male",SP.POP.0014.MA.IN,6018
Cayman Islands,CYM,"Population ages 0-14, female",SP.POP.0014.FE.IN,5883
Cayman Islands,CYM,"Population ages 15-64, male",SP.POP.1564.MA.IN,27778
Cayman Islands,CYM,"Population ages 15-64, female",SP.POP.1564.FE.IN,27121
Cayman Islands,CYM,"Population ages 80 and above, female",SP.POP.80UP.FE,628
Cayman Islands,CYM,"Population ages 80 and above, male",SP.POP.80UP.MA,451
Cayman Islands,CYM,"Population, male",SP.POP.TOTL.MA.IN,36676
Cayman Islands,CYM,"Population, female",SP.POP.TOTL.FE.IN,36362
Central African Republic,CAF,"Population ages 0-14, male",SP.POP.0014.MA.IN,1276927
Central African Republic,CAF,"Population ages 0-14, female",SP.POP.0014.FE.IN,1256335
Central African Republic,CAF,"Population ages 15-64, male",SP.POP.1564.MA.IN,1144575
Central African Republic,CAF,"Population ages 15-64, female",SP.POP.1564.FE.IN,1366626
Central African Republic,CAF,"Population ages 80 and above, female",SP.POP.80UP.FE,4251
Central African Republic,CAF,"Population ages 80 and above, male",SP.POP.80UP.MA,2698
Central African Republic,CAF,"Population, male",SP.POP.TOTL.MA.IN,2467628
Central African Republic,CAF,"Population, female",SP.POP.TOTL.FE.IN,2684793
Central Europe and the Baltics,CEB,"Population ages 0-14, male",SP.POP.0014.MA.IN,7827222
Central Europe and the Baltics,CEB,"Population ages 0-14, female",SP.POP.0014.FE.IN,7433281
Central Europe and the Baltics,CEB,"Population ages 15-64, male",SP.POP.1564.MA.IN,32676489
Central Europe and the Baltics,CEB,"Population ages 15-64, female",SP.POP.1564.FE.IN,32091286
Central Europe and the Baltics,CEB,"Population ages 80 and above, female",SP.POP.80UP.FE,3108116
Central Europe and the Baltics,CEB,"Population ages 80 and above, male",SP.POP.80UP.MA,1439922
Central Europe and the Baltics,CEB,"Population, male",SP.POP.TOTL.MA.IN,48540523
Central Europe and the Baltics,CEB,"Population, female",SP.POP.TOTL.FE.IN,51635336
Chad,TCD,"Population ages 0-14, male",SP.POP.0014.MA.IN,4576898
Chad,TCD,"Population ages 0-14, female",SP.POP.0014.FE.IN,4452287
Chad,TCD,"Population ages 15-64, male",SP.POP.1564.MA.IN,4932515
Chad,TCD,"Population ages 15-64, female",SP.POP.1564.FE.IN,4956538
Chad,TCD,"Population ages 80 and above, female",SP.POP.80UP.FE,24815
